Month,Year,Visitors,Average Money Spent,Total_revenue
January,2016,1122510,1500,1683765000
February,2016,778748,1500,1168122000
March,2016,1017794,1500,1526691000
April,2016,1127738,1500,1691607000
May,2016,1287181,1500,1930771500
June,2016,12032661,1500,18048991500
July,2016,1096754,1500,1645131000
August,2016,1061137,1500,1591705500
September,2016,832987,1500,1249480500
October,2016,901960,1500,1352940000
November,2016,909733,1500,1364599500
December,2016,1225502,1500,1838253000
January,2017,1924695,1500,2887042500
February,2017,1886698,1500,2830047000
March,2017,1783903,1500,2675854500
April,2017,2366793,1500,3550189500
May,2017,2266793,1500,3400189500
June,2017,2007060,1500,3010590000
July,2017,1890870,1500,2836305000
August,2017,1976980,1500,2965470000
September,2017,2011280,1500,3016920000
October,2017,2202316,1500,3303474000
November,2017,1971438,1500,2957157000
December,2017,4871416,1500,7307124000
January,2018,1978396,1500,2967594000
February,2018,1365837,1500,2048755500
March,2018,1415938,1500,2123907000
April,2018,1586375,1500,2379562500
May,2018,1189492,1500,1784238000
June,2018,1595067,1500,2392600500
July,2018,1470042,1500,2205063000
August,2018,1591470,1500,2387205000
September,2018,1508086,1500,2262129000
October,2018,2207478,1500,3311217000
November,2018,1671320,1500,2506980000
December,2018,1964150,1500,2946225000
January,2019,1426500,1500,2139750000
February,2019,983147,1500,1474720500
March,2019,1009991,1500,1514986500
April,2019,1045933,1500,1568899500
May,2019,1305748,1500,1958622000
June,2019,1262995,1500,1894492500
July,2019,1094861,1500,1642291500
August,2019,1121380,1500,1682070000
September,2019,959930,1500,1439895000
October,2019,1240643,1500,1860964500
November,2019,1073665,1500,1610497500
December,2019,1277569,1500,1916353500
